,text,Sentiment,Target_type
32,"['ayoo', 'ndukung', 'prgrm', 'vaksinasi', 'spya', 'wargi', 'sumut', 'bbs']",positif,1
33,"['nyok', 'suport', 'hdup', 'shat', 'tampa', 'dngan', 'melakukn']",positif,1
34,"['ayoo', 'ndukung', 'prgrm', 'vaksinasi', 'spy', 'wrga', 'sumut']",positif,1
35,"['efek', 'samping', 'vaksin', 'perintah', 'tanggung', 'biaya', 'awat', 'vaksinasicovid']",positif,1
36,"['tahu', 'sohib', 'komisi', 'fatwa', 'muipusat', 'tetap', 'vaksin', 'covid', 'halal', 'suci']",positif,1
37,"['desember', 'badan', 'awas', 'obat', 'eropa', 'ema', 'komisi', 'eropa', 'izin', 'guna', 'vaksin']",positif,1
38,"['bpom', 'izin', 'vaksin', 'sinovac', 'dgn', 'efikasi']",positif,1
39,"['info', 'pekan', 'tenaga', 'sehat', 'jabar', 'suntik', 'vaksin', 'covid', 'cek']",positif,1
40,"['mui', 'nyata', 'vaksin', 'covid', 'sinovac', 'halal', 'vaksin', 'sinovachalal', 'vaks']",positif,1
41,"['mui', 'vaksin', 'covid', 'sinovac', 'suci', 'halal', 'vaksin', 'sinovachalal', 'vaks']",positif,1
42,"['bpom', 'terbit', 'izin', 'guna', 'darurat', 'vaksin', 'covid', 'buat', 'sinovac', 'vaksin', 'sinovachalal']",positif,1
43,"['lusa', 'vaksinasi', 'vaksin', 'sinovachalal', 'vaksncovid', 'vaksingratisutkrakyat']",positif,1
44,"['vaksin', 'covid', 'produksi', 'sinovac', 'suci', 'halal', 'vaksin', 'sinovachalal', 'vaks']",positif,1
45,"['badan', 'pom', 'resmi', 'keluar', 'emergency', 'use', 'authorization', 'tuju', 'guna']",positif,1
46,"['jelang', 'vaksinasi', 'januari', 'izin', 'guna', 'darurat', 'vaksin']",positif,1
47,"['bpom', 'bpom', 'ri', 'terbit', 'eua', 'komisi', 'fatwa', 'mui', 'vaksin', 'sinovac', 'halal']",positif,1
48,"['perintah', 'upaya', 'keras', 'antisipasi', 'virus', 'corona', 'varian']",positif,1
49,"['bpom', 'keluar', 'izin', 'edar', 'vaksin', 'sinovac', 'vaksin', 'sinovac']",positif,1
50,"['badan', 'awas', 'obat', 'makan', 'bpom', 'keluar', 'izin', 'guna', 'darurat', 'vaksin', 'emergency']",positif,1
51,"['majelis', 'ulama', 'indonesia', 'mui', 'keluar', 'fatwa', 'halal', 'vaksin', 'produksi', 'sinovac', 'tiongkok']",positif,1
52,"['bpom', 'resmi', 'keluar', 'izin', 'darurat', 'emergency', 'user', 'authorization', 'uea', 'vaksin']",positif,1
53,"['izin', 'darurat', 'bpom', 'vaksin', 'sinovac', 'suntik', 'jokowi', 'januari', 'vaksin']",positif,1
54,"['encusss', 'nganti', 'ping', 'vaksindatang', 'coronailang', 'alumnismapati']",positif,1
55,"['vaksinasi', 'pandemi', 'herd', 'immunity', 'rapidantibodi', 'rapidantigen', 'swabpcr']",positif,1
56,"['ketua', 'ikat', 'dokter', 'indonesia', 'idi', 'daeng', 'faqih', 'imbau', 'masyarakat', 'henti', 'polemik', 'putar']",positif,1
57,"['badan', 'awas', 'obat', 'makan', 'bpom', 'tgl', 'jan', 'tuju', 'guna', 'dlm']",positif,1
58,"['menkes', 'lansia', 'terima', 'vaksin', 'gavi', 'vaksin', 'lansia']",positif,1
59,"['dukung', 'lambat', 'pandemi', 'vaksin', 'covid', 'viruscorona']",positif,1
60,"['vaksin', 'lolos', 'uji', 'klinis', 'vaksin', 'pandemi', 'indonesia']",positif,1
61,"['aman', 'vaksin', 'pandemi', 'indonesia']",positif,1
62,"['bpom', 'izin', 'guna', 'vaksin', 'vaksin', 'pandemi', 'indonesia']",positif,1
63,"['lolos', 'uji', 'klinis', 'ya', 'vaksin', 'pandemi', 'indonesia']",positif,1
64,"['bpom', 'vaksin', 'sinovac', 'aman', 'mui', 'resmi', 'keluar', 'fatwa', 'suci', 'halal', 'batam']",positif,1
65,"['eua', 'resmi', 'keluar', 'bpom', 'mui', 'nyata', 'vaksin', 'buat', 'tiongkok', 'sinovac', 'halal', 'mui']",positif,1
66,"['sedia', 'presiden', 'yg', 'terima', 'vaksin']",positif,1
67,"['bpom', 'tuju', 'vaksin', 'produksi', 'sinovac', 'kemenkes']",positif,1
68,"['kabupaten', 'probolinggo', 'laksana', 'vaksinasi', 'corona']",positif,1
69,"['kepala', 'badan', 'pom', 'vaksin', 'coronavac', 'uji', 'klinis', 'indonesia', 'penuh']",positif,1
70,"['suntik', 'vaksinchina', 'ad', 'si']",negatif,0
71,['vaksin'],positif,1
72,"['ayooo', 'sukses']",positif,1
73,"['vaksin', 'vaksin']",positif,1
74,"['polres', 'merauke', 'dosis', 'vaksin', '']",positif,1
75,"['idi', 'stop', 'polemik', 'nakes', 'takut', 'vaksin', 'via', 'harianbatampos']",positif,1
76,"['eforia', 'vaksin', 'herd', 'immunity', 'pikir', 'kritis', 'jernih', 'jalan']",positif,1
77,"['daftar', 'efikasi', 'vaksin', 'sinovac', 'unggul', 'astrazeneca', 'dosis', 'normal', 'vaksin']",positif,1
78,"['halal', 'bpom', 'entas', 'polemik', 'vaksinasi', 'herd', 'immunity']",positif,1
79,"['alhamdulillah', 'fatwa', 'halal', 'vaksin', 'sinovac', 'mui', 'final', 'otoritas', 'bpom', 'bpom', 'ri']",positif,1
80,"['mari', 'dukung', 'program', 'vaksinasi', 'indonesia', 'bebas', 'pandemi', 'vaksin']",positif,1
81,"['info', 'boker', 'pagi', 'tani', 'kopi', 'hitam', 'buat', 'que', 'berita', 'wajib', 'vaksin', 'hasrat', 'boker', 'ku']",negatif,0
82,"['kapolres', 'kampar', 'suntik', 'vaksin', 'riaupos', 'kapolres', 'suntik', 'vaksin']",positif,1
83,"['heran', 'pakai', 'sinovac', 'mahal', 'iya', 'akurasi', 'rendah', 'iya', 'uji', 'selesai', 'iya']",negatif,0
84,"['nih', 'denger', 'tolakdivaksinsinovac']",negatif,0
85,"['abis', 'baca', 'thread', 'vaksin', 'sinovac', 'dr', 'efikasi', 'efek', 'kayak', 'hasil', 'aja', 'vaksin']",negatif,0
86,"['jelang', 'vaksin', 'keinget', 'jaman', 'sekolah', 'lari', 'suntik', 'tpi', 'mgkin', 'lari', 'takut', 'efek']",negatif,0
87,"['menag', 'umat', 'ragu', 'program', 'vaksin', 'kunjung', 'covid']",positif,1
88,"['siapp', 'vaksin']",positif,1
89,"['warga', 'indonesia', 'wajib', 'program', 'vaksinasi', 'sinovac', 'perintah']",positif,1
90,"['menag', 'vaksin', 'sinovac', 'halal', 'kandung', 'tubuh', 'manusia', 'babi', 'menag']",positif,1
91,"['kepala', 'badan', 'awas', 'obat', 'makan', 'bpom', 'vaksin', 'sinovac', 'aman', 'khasiat']",positif,1
92,"['kepala', 'badan', 'awas', 'obat', 'makan', 'bpom', 'badan', 'pom', 'emergency']",positif,1
93,"['sah', 'bpom', 'izin', 'vaksin']",positif,1
94,"['kpala', 'badan', 'awas', 'obat', 'makan', 'bpom', 'vaksin', 'sinovac', 'aman', 'khasiat']",positif,1
95,"['syah', 'bpom', 'ijin', 'vaksin']",positif,1
96,"['kepala', 'awak', 'pelihara', 'remedi', 'makan', 'bpom', 'vaksin', 'sinovac', 'aman']",positif,1
97,"['kpala', 'badan', 'awas', 'obat', 'dn', 'makan', 'bpom', 'vaksin', 'sinovac', 'aman']",positif,1
98,"['kepala', 'yayasan', 'periksa', 'remedi', 'makan', 'bpom', 'vaksin', 'sinovac']",positif,1
99,"['kepala', 'kelompok', 'inspeksi', 'tawar', 'makan', 'bpom', 'vaksin', 'sinovac', 'aman']",positif,1
100,"['kepala', 'satu', 'lindung', 'tawar', 'makan', 'bpom', 'vaksin', 'sinovac']",positif,1
101,"['vaksin', 'aman', 'halal', 'menteri', 'agama', 'ragu', 'vaksinasi']",positif,1
102,"['halakhitatba', 'vaksin', 'oke']",positif,1
103,"['alas', 'ribka', 'tolak', 'pt', 'bio', 'farma', 'uji', 'klinis', 'tahap', 'ketigavaksin']",negatif,0
104,"['ribka', 'pdip', 'ogah', 'suntik', 'vaksin', 'paksa', 'langgar', 'ham', 'vaksin', 'vaksinasi']",negatif,0
105,"['menteri', 'agama', 'yaqut', 'cholil', 'qoumas', 'ajak', 'umat', 'agama', 'ikut', 'program']",positif,1
106,"['bpom', 'aman', 'insyaallah', 'vaksin', 'aman', 'muhammadiyah', 'tvmuhammadiyah', 'vaksinasi']",positif,1
107,"['sobatkom', 'menteri', 'sehat', 'kemkes', 'terbit', 'tunjuk', 'teknis', 'juknis', 'laksana']",positif,1
108,"['bupati', 'tanggamus', 'dewi', 'handajani', 'kesiap', 'terima', 'vaksin', 'sinovac', 'vaksinasi']",positif,1
109,"['asn', 'badan', 'pom', 'vaksinasi', 'ayo', 'sukses', 'vaksinasi', 'demi', 'covid']",positif,1
110,"['polri', 'vaksinasi', 'lawan', 'demi', 'sinergi']",positif,1
111,"['vaksin', 'protokol', 'sehat', 'kendor', 'lupa']",positif,1
112,"['kalo', 'bagus', 'kasih']",negatif,0
113,"['menteri', 'agama', 'ragu', 'ikut', 'vaksinasi', 'yg', 'canang', 'perintah']",positif,1
114,"['menag', 'umat', 'agama', 'ragu']",positif,1
115,"['gamau', 'vaksin', 'penjara', 'dasar', 'atur', 'sampe', 'badan', 'orang']",negatif,0
116,"['masa', 'mana', 'manusia', 'rasa', 'galau', 'hewan', 'ternak', 'unggas']",negatif,0
117,"['vaksin', 'yg', 'manjur', 'covid']",positif,1
118,"['kandung', 'babi', 'menteri', 'agama', 'yaqut', 'cholil', 'qoumas', 'imbau', 'umat', 'islam', 'ragu']",positif,1
119,['vaksin'],positif,1
120,"['jarang', 'fraksi', 'pks', 'apresiasi', 'putus', 'presiden', 'jokowi', 'vaksin', 'vaksinasi']",positif,1
121,"['vaksin', 'aman', 'halal', 'indonesia', 'vaksin']",positif,1
122,"['dprk', 'lhokseumawe', 'perintah', 'tingkat', 'sosialisasi']",positif,1
123,"['gak', 'vaksin', 'denda', 'duit', 'kudunye', 'balik', 'vaksin', 'kasih']",negatif,0
124,"['vaksin', 'vaksin', 'siapvaksincovid']",positif,1
125,"['vaksinasi', 'indonesia', 'bebas', 'pandemi', 'patuh', 'vaksincovid']",positif,1
126,"['pelopor', 'vaccine', 'vaksin', 'vaksinsinovac']",positif,1
127,"['vaksin', 'bisnis', 'solusi', 'pandemi', 'suaraislamid', 'vaksin', 'bisnis']",negatif,0
128,"['tolak', 'ikut', 'jokowi', 'suntik', 'vaksin', 'ribka', 'pdip', 'mending', 'gue', 'bayar', 'denda']",negatif,0
129,"['januari', 'moga', 'jokowi', 'jalan', 'vaksin', 'moga']",positif,1
130,"['negara', 'bisnis', 'rakyat']",negatif,0
131,"['vaksin', 'vaksinkitadatanglagi', 'vaksinyginginhidupaja']",positif,1
132,"['perintah', 'berani', 'jamin', 'vaksin', 'aman', 'cakap', 'pikir']",positif,1
133,"['masyarakat', 'ragu', 'halal', 'vaksin', 'sinovac', 'cakap', 'pikir']",positif,1
134,"['vaksin', 'covid', 'aman', 'halal', 'suci', 'vaksin', 'ardhianzah', 'imam']",positif,1
135,"['vakin', 'nyata', 'aman']",positif,1
136,"['vaksin', 'corona']",positif,1
137,"['vaksin', 'sinovac', 'halal', 'suci', 'mudah', 'provokasi', 'isu', 'negatif', 'vaksin']",positif,1
138,"['moga', 'jalan', 'sesuai', 'rencana', 'vaksin', 'pandemi', 'indonesia', 'virus']",positif,1
139,"['moga', 'selesai', 'pandemi', 'vaksin', 'pandemi', 'indonesia', 'virus']",positif,1
140,"['oma', 'opa', 'suntik', 'vaksin', 'pfizer', 'astrazeneca', 'moga', 'pandemi', 'lekas']",positif,1
141,"['kasi', 'narapidana', 'cape', 'cape', 'kriminal', 'nolak', 'vaksin', 'doang', 'syarat', 'masuk', 'penjara']",negatif,0
142,"['vaksin', 'covid', 'sinovac', 'nyata', 'halal', 'suci', 'vaksin']",positif,1
143,"['fatwa', 'mui', 'vaksin', 'covid', 'halal', 'sebar', 'beritakitacoid']",positif,1
144,"['langsung', 'percaya', 'baca', 'berita', 'ya', 'cek', 'sumber', '']",positif,1
145,"['mendagri', 'ajak', 'masyarakat', 'dukung', 'bijak', 'ppkm', 'putus', 'tular', 'covid']",positif,1
146,"['lucu', 'nih', 'cebong', 'senang', 'kadrun', 'anti', 'vaksin', 'punah', 'jd', 'bebas']",negatif,0
147,"['menteri', 'agama', 'vaksinasi', 'jalan', 'perintah', 'agama']",positif,1
148,"['ribka', 'tjiptaning', 'tolak', 'suntik', 'vaksin', 'pilih', 'bayar', 'denda', 'news']",negatif,0
149,"['alhamdulilah', 'hirobbal', 'allamin', 'haji', 'jokowi', 'vaksinasi', 'siiap', 'vaksin', 'ikut']",positif,1
150,"['alfino', 'defito', 'jokowi', 'bgt', 'vaksinasi', 'dukung']",positif,1
151,"['wamenag', 'vaksin', 'ayo', 'vaksinasi']",positif,1
152,"['salah', 'satu', 'dukung', 'program', 'perintah', 'vaksinasi']",positif,1
153,"['alhamdulillah', 'jokowi', 'udah', 'vaksin', 'moga', 'tekan', 'laju', 'covid', 'aamiin']",positif,1
154,"['vaksin', 'covid', 'sinovac', 'nyata', 'halal']",positif,1
155,"['alhamdulillah', 'vaksin', 'udah', 'suntik', 'kali', 'optimis', 'patuh']",positif,1
156,"['negara', 'bisnis', 'rakyat', 'ribka', 'tjiptaning', 'anggota', 'dpr', 'ri', 'fraksi', 'pdi']",negatif,0
157,"['vaksin', 'catat', 'info', 'vaksin']",positif,1
158,"['kabar', 'indonesia', 'presiden', 'ri', 'joko', 'widodo', 'resmi', 'orang', 'indonesia', 'terima']",positif,1
159,"['aman', 'khasiat', 'halal', 'masyarakat', 'ragu', 'vaksin', 'keluar', 'bio', 'farma', 'biofarmaid']",positif,1
160,"['ragu', 'deret', 'manfaat', 'vaksinasi']",positif,1
161,"['bismillah', 'yg', 'nyuntik', 'tremor', 'gpp', 'nyuntik', 'presiden', 'aja', 'kadang', 'klw']",positif,1
162,"['jokowi', 'alhamdulilah', 'hirobbal', 'allamin', 'vaksinasi', 'jokowidodo', 'sehat', 'njeh']",positif,1
163,"['serius', 'nanya', 'vaksin', 'ngaruh', 'gak', 'sih']",negatif,0
164,"['suksme', 'jokowi', '', 'sampun', 'contoh', '', 'admin', 'jokowi', 'wedakarna']",positif,1
165,"['baik', 'jokowidivaksin']",positif,1
166,"['vaksin', '', 'yuk', 'vaksin', 'yuk', '', 'vaksinuntuknegeri']",positif,1
167,"['qeenbee', 'vaksinasi', 'yah']",positif,1
168,"['idi', 'terbit', 'maklumat', 'dokter', 'vaksin']",positif,1
169,"['percaya', 'jokowi', '', 'vaksinuntuknegeri', 'vaksinasidimulai', 'jokowi']",positif,1
170,"['moga', 'hadir', 'vaksin', 'kabar', 'ya', 'sahabat', 'moga', 'bebas']",positif,1
171,"['sherpa', 'nice', 'infoh', 'ayo', 'dukung', 'vaksin', 'utk']",positif,1
172,"['polrestas', 'patuh', 'prokes', 'terima', 'vaksinasi', 'vaksinasi']",positif,1
173,"['nyuks', 'lawan', 'vaksin', 'sinovac', 'sertifikat', 'halal']",positif,1
174,"['makan', 'hoaks', 'vaksin', 'sinovac', 'sertifikat', 'halal']",positif,1
175,"['mantul', 'vaksin', 'sinovac', 'sertifikat', 'halal', 'sukses', 'indonesia']",positif,1
176,"['bantu', 'indonesia', 'lawan', 'siap', 'diri', 'program', 'vaksinasi']",positif,1
177,"['menteri', 'agama', 'sertifikat', 'vaksin', 'sinovac']",positif,1
178,"['ayo', 'dukung', 'vaksin', 'sinovac', 'udah', 'sertifikat', 'halal']",positif,1
179,"['nruulll', 'guru', 'tpq', 'bonggbudiharto', 'siaappp', 'donk']",positif,1
180,"['gak', 'percaya', 'kalo', 'percaya', 'gak', 'percaya', 'kalo', 'percaya', 'gak']",negatif,0
181,"['panglima', 'had', 'prajurit', 'tni', 'sukses', 'vaksinasi', 'tjahjantohadi', 'tni', 'vaksin']",positif,1
182,"['vaksin', 'bisnis']",negatif,0
183,"['vaksin', 'aman', 'halal', 'vaksin', 'covid', 'coronavirus']",positif,1
184,"['', 'wedi', 'vaksin', '', 'kenopo', '', 'yen', 'bar', 'vaksinasimelawanpandemi', 'mati', 'piye', '', 'rapopo', 'mas']",positif,1
185,"['vaksin', 'vaksin', 'vaksinuntukkita', 'akusiapdivaksin']",positif,1
186,"['inget', 'langsng', 'mudah', 'percaya', 'sunti', 'kepala', 'negara', 'bener', 'vaksin']",negatif,0
187,"['kelas', 'raffi', 'ahmad', 'suntik', 'sinovac', 'lho', 'ragu', 'ayo', 'lindung', 'diri', 'orang']",positif,1
188,"['moga', 'vaksin', 'manjur', 'ya', 'pen', 'neng', 'nih', 'ampe', 'pagi', 'vaksin', 'percaya', 'vaksin']",positif,1
189,['aman'],positif,1
190,"['menkes', 'vaksin', 'lindung', 'rakyat', 'indonesia', 'menkes']",positif,1
191,"['bismillah', 'bismillahirrahmanirrahim', '', 'vaksinasi', 'vaksinasicovid', 'vaksinasidimulai']",positif,1
192,"['bikin', 'bingung', 'deh', 'ah', 'perkara', 'vaksin']",negatif,0
193,"['tuhh', 'mba', 'ning', 'nolak']",negatif,0
194,"['akurasi', 'utk', 'tonton']",negatif,0
195,"['ragu', 'vaksin']",positif,1
196,"['masa', 'pandemi', 'hadir', 'vaksin', 'guna', 'lindung', 'ancam', 'serius']",positif,1
197,"['sehat', 'jokowi', 'dukung', 'vaksin', 'vaksin', 'aman']",positif,1
198,"['whatever', 'it', 'is', 'moga', 'aman', 'aja']",positif,1
199,"['ayo', 'jatibeningers', 'lupa', 'vaksin', 'vaksin', 'vaksinasidimulai']",positif,1
200,"['polri', 'vaksin', 'vaksincorona']",positif,1
201,"['vaksin', '', 'kalo', 'jokowi', 'rela', 'lha', 'semangat', 'sehat', 'pulih']",positif,1
202,"['gw', 'aja', 'ngga', 'tuju', 'vaksin', 'gak', 'vaksin', 'takut', 'jarum', 'suntik', 'vaksin']",positif,1
203,"['proses', 'vaksin', 'sampe', 'eksekusi', 'serius', 'orang']",positif,1
204,"['gue', 'ken', 'upaya', 'upaya', 'henti', 'pandemi']",positif,1
205,"['tiga', 'gue', 'insyaallah', 'ga', 'takut', 'gue', 'ikhtiar', 'gue', 'laku', 'ikhtiar', 'wajib', 'sisa']",positif,1
206,"['yuk', 'cepet', 'vaksin', 'biar', 'gue', 'mana', 'aman', 'nggak', 'takut', 'nularin', 'oranglain', '', 'vaksinuntukkita', 'vaksincovid']",positif,1
207,"['yok', 'vaksin', 'biar', 'daya', 'tahan', 'tubuh', 'kuat', 'diphpin', 'kasih', 'harap', 'selingkuh', 'vaksinyovaksin']",positif,1
208,"['bismillah', 'gasss', 'dukungsehatkanbangsa']",positif,1
209,"['gaes', 'vaksinasi', 'massal', 'indonesia', 'tahap', 'halang', 'vaksinasi', 'proyeksi']",positif,1
210,"['kadrun', 'bangkit', 'dr', 'kubur', 'kadrun', 'sumber']",negatif,0
211,"['vaksin', 'covid', 'nyata', 'halal', 'mui', 'aman', 'badanpom', 'rabu', 'januari']",positif,1
212,"['selamat', 'vaksin', 'moga', 'cepat', 'sembuh', 'ya', 'vaksinasidimulai']",positif,1
213,"['tolak', 'vaksin', 'anggota', 'dpr', 'ribka', 'tjiptaning', 'langgar', 'ham', 'gak']",negatif,0
214,"['ikhtiyar', 'sungguh', 'empati', 'vaksin']",positif,1
215,"['insya', 'allah', 'bismillah', 'vaksin', 'covi']",positif,1
216,"['arifinnkri', 'dukung', 'vaksinasi']",positif,1
217,"['felly', 'vaksin', 'sinovac', 'aman', 'anggota', 'komisi', 'ix', 'dpr', 'tuju']",positif,1
218,"['ragu', 'vaksinasi', 'imunisasi', 'yah', 'bpomri', 'vaksinasi', 'imunisasi', 'vaksinaman']",positif,1
219,"['siap', 'lagu', 'baik', 'biar', 'ngga', 'tremor', 'pas', 'gilir']",positif,1
220,"['kejaksaanri', 'dukung', 'program', 'vaksinasi', 'vaksinasi', 'kejaksaanri']",positif,1
221,"['halahh', 'ngapain', 'pake', 'live', 'ttp', 'aja', 'yg', 'masyarakat', 'beda', 'kualitas', 'ama', 'yg']",negatif,0
222,"['turut', 'vaksin', 'helm', 'sabuk', 'kam', 'manfaat', 'lindung', 'beda', 'vaksin']",positif,1
223,"['pemkab', 'aceh', 'barat', 'pasti', 'imunisasi', 'vaksin', 'sinovac', 'covid', 'warga']",positif,1
224,"['bijak', 'inggris', 'lambat', 'beri', 'dosis', 'corona', 'warga']",positif,1
225,"['bismillah', 'indonesia', 'sehat', 'kiai', 'ahmad', 'ishomuddin', 'rais', 'syuriyah', 'pbnu', 'vaksin', 'istana', 'negara']",positif,1
226,['mantap'],positif,1
227,"['vaksin', 'sinovac', 'nyata', 'halal', 'aman', 'takut', 'ya', 'yuk']",positif,1
228,"['dukung', 'negara']",positif,1
229,"['minum', 'jamu', 'tradisional', 'sehat']",positif,1
230,['hadir'],positif,1
231,"['pasti', 'badan', 'fit', 'suntik', 'vaksin']",positif,1
232,"['suntik', 'vaksin', 'gak', 'rep']",positif,1
233,"['ayo', 'vaksin']",positif,1
234,"['mari', 'dukung', 'negeri', 'cinta', 'bebas', 'pandemi']",positif,1
235,"['patuh', 'protokol', 'sehat', 'moga', 'covid']",positif,1
236,"['nya', 'tolak', 'vaksin', 'ni', 'buk', 'yg', 'hormat', 'gue', 'fobia', 'jarum', 'suntik', 'anjeeeng', 'gak', 'gue']",negatif,0
237,"['vaksin', 'covid', 'aman', 'halal', 'fatwa', 'mui', 'no', 'produk', 'vaksin', 'covid', 'sinovac', 'life']",positif,1
238,['vaksin'],positif,1
239,"['koordinator', 'cinta', 'ajak', 'masyarakat', 'sukses', 'program', 'vaksinasi', 'covid']",positif,1
240,"['yes', 'vaksin', 'suntik', 'moga', 'distribusi', 'yg']",positif,1
241,"['presiden', 'jokowi', 'resmi', 'suntik', 'vaksin', 'corona']",positif,1
242,[],positif,1
243,"['masquh', 'insya', 'allah', 'dgn', 'pergi', 'musnah', 'si']",positif,1
244,"['vaksinasi', 'covid', 'indonesia', 'vaksin', 'uji', 'teliti']",positif,1
245,"['dokter', 'presiden', 'alhamdulillah', 'hasil', 'suntik', 'presiden']",positif,1
246,"['pemkot', 'tangsel', 'salur', 'ribu', 'paket', 'vaksin', 'covid']",positif,1
247,"['menkes', 'tum', 'idi', 'vaksin', 'sinovac', 'jokowi', 'pagi']",positif,1
248,"['sahabat', 'mata', 'mari', 'sukses', 'indonesia', 'yg', 'tuju', 'lindung', 'kuat']",positif,1
249,"['sanksi', 'penjara', 'bayar', 'denda', 'tolak', 'vaksin']",positif,1
250,"['presiden', 'jokowi', 'resmi', 'vaksin']",positif,1
251,"['vaksinasi', 'covid', 'bentuk', 'usaha', 'cegah', 'hal']",positif,1
252,"['indonesia', 'maju', 'indonesia']",positif,1
253,"['sinovac', 'geber', 'produksi', 'vaksin', 'corona', 'miliar']",positif,1
254,"['selesai', 'pandemi', 'menteri', 'sandi', 'ajak', 'insan', 'pariwisata']",positif,1
255,"['vaksinasi', 'covid', 'kemarin', 'fatwa', 'halal', 'mui', 'izin', 'pakai', 'darurat', 'keluar', 'badan']",positif,1
256,"['juta', 'tenaga', 'sehat', 'vaksin', 'covid', 'tahap']",positif,1
257,"['juta', 'warga', 'jakarta', 'vaksinasi', 'covid']",positif,1
258,"['lindung', 'covid', 'takut', 'vaksin']",positif,1
259,"['vaksinasi', 'covid', 'salah', 'upaya', 'putus', 'rantai', 'tular', 'covid', 'indonesia']",positif,1
260,"['vaksinasi', 'covid']",positif,1
261,"['vaksinasi', 'nasional', 'cegah', 'tular']",positif,1
262,"['grab', 'usul', 'mitra']",positif,1
263,"['legislator', 'pks', 'kecam', 'perintah', 'ancam', 'masyarakat', 'tolak']",negatif,0
264,"['rois', 'syuriah', 'pbnu', 'takut', 'vaksin', 'halal']",positif,1
265,"['insya', 'allah', 'sepakat', 'forkopimda']",positif,1
266,"['program', 'vaksinasi', 'covid', 'aman', 'langsung', 'ahli', 'event', 'webinar']",positif,1
267,['sertifikasi'],positif,1
268,"['vaksinya', 'uji']",positif,1
269,"['satu', 'lawan']",positif,1
270,"['takut', 'vaksin']",positif,1
271,"['vaksinasi', 'covid', 'riau']",positif,1
272,"['program', 'vaksinasi', 'covid']",positif,1
